TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;17,05;6,36;4,72;0,73;0,07;32,56;26,15;18,94;3,42;3,42;;;0,89;5,98;-0,08;1,39;15,40;1,53;;0,10;0,90;0,08;18,70;13,83;14.744.146,24;23,46;3,61;0,16;3.854.836.511,90
BAZA3;67,31;7,92;3,17;0,73;0,10;32,67;59,58;34,28;1,82;1,82;;;1,09;3,07;-0,10;;23,12;3,13;;0,14;0,86;0,09;17,64;79,20;292.607,51;91,98;21,27;0,08;3.773.285.182,65
BBAS3;44,40;8,20;3,96;0,78;0,06;31,57;16,70;12,67;3,00;3,00;;;0,50;2,53;-0,06;11,25;19,71;1,54;;0,08;0,92;0,12;9,97;24,79;558.648.104,35;56,97;11,23;0,05;127.224.515.688,00
BBDC3;13,67;6,70;7,49;0,90;0,08;33,70;9,42;9,10;7,24;7,88;;;0,68;0,90;-0,09;7,18;11,95;1,06;;0,09;0,91;0,12;8,37;2,59;77.495.282,49;15,27;1,83;-0,56;158.492.537.606,91
BBDC4;16,12;6,25;8,83;1,06;0,09;33,70;9,42;9,10;8,53;7,88;;;0,80;1,06;-0,10;7,18;11,95;1,06;;0,09;0,91;0,12;8,37;2,59;750.112.579,24;15,27;1,83;-0,66;158.492.537.606,91
BEES3;7,40;8,00;7,33;1,17;0,06;25,36;8,87;6,32;5,22;5,49;;;0,46;0,76;-0,07;;15,94;0,86;;0,05;0,95;0,14;12,53;13,77;138.863,65;6,34;1,01;0,41;2.455.775.699,40
BEES4;8,79;6,73;8,70;1,39;0,07;25,36;8,87;6,32;6,20;5,49;;;0,55;0,91;-0,08;;15,94;0,86;;0,05;0,95;0,14;12,53;13,77;40.750,65;6,34;1,01;0,48;2.455.775.699,40
BGIP3;29,24;7,67;5,79;0,73;0,05;36,51;9,69;6,78;4,05;3,48;;;0,39;-0,61;-0,12;0,86;12,68;0,91;;0,07;0,93;0,13;8,79;-2,05;5.321,44;39,86;5,05;0,76;384.420.013,50
BGIP4;21,06;11,72;4,17;0,53;0,04;36,51;9,69;6,78;2,92;3,48;;;0,28;-0,44;-0,08;0,86;12,68;0,91;;0,07;0,93;0,13;8,79;-2,05;18.561,55;39,86;5,05;0,55;384.420.013,50
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;189.680.308,83;9,67;-0,04;0,13;8.991.139.764,53
